fecha_corte,proyecto,anio,periodo,orden,Listos,En Gestión,Sin Cartas
2026-08-10,Verdepino,2026.0,Abril 2026,202604,2,0,0
2026-08-10,Azul Club Residencial Celeste,2026.0,Junio 2026,202606,0,0,1
2026-08-10,Verdepino,2026.0,Junio 2026,202606,6,4,2
2026-08-10,Verdevivo,2026.0,Junio 2026,202606,8,0,0
2026-08-10,Azul Club Residencial Turquesa,2026.0,Julio 2026,202607,0,0,2
2026-08-10,VERDELIMA,2026.0,Julio 2026,202607,4,3,0
2026-08-10,Verdepino,2026.0,Julio 2026,202607,7,3,3
2026-08-10,Verdevivo,2026.0,Julio 2026,202607,7,9,1
2026-08-10,Azul Club Residencial Celeste,2026.0,Agosto 2026,202608,0,0,1
2026-08-10,Azul Club Residencial Turquesa,2026.0,Agosto 2026,202608,8,0,23
2026-08-10,VERDELIMA,2026.0,Agosto 2026,202608,3,5,3
2026-08-10,Verdeoliva,2026.0,Agosto 2026,202608,10,2,0
2026-08-10,Verdepino,2026.0,Agosto 2026,202608,5,6,0
2026-08-10,Verdevivo,2026.0,Agosto 2026,202608,12,8,1
2026-08-10,Azul Club Residencial Celeste,2026.0,Septiembre 2026,202609,1,0,2
2026-08-10,Azul Club Residencial Turquesa,2026.0,Septiembre 2026,202609,9,0,21
2026-08-10,Cristales,2026.0,Septiembre 2026,202609,2,2,7
2026-08-10,VERDELIMA,2026.0,Septiembre 2026,202609,1,2,2
2026-08-10,Verdeoliva,2026.0,Septiembre 2026,202609,5,8,4
2026-08-10,Verdepino,2026.0,Septiembre 2026,202609,4,6,5
2026-08-10,Verdevivo,2026.0,Septiembre 2026,202609,7,9,4
2026-08-10,Azul Club Residencial Turquesa,2026.0,Octubre 2026,202610,1,0,8
2026-08-10,Cristales,2026.0,Octubre 2026,202610,1,3,11
2026-08-10,VERDELIMA,2026.0,Octubre 2026,202610,4,13,9
2026-08-10,Verdeoliva,2026.0,Octubre 2026,202610,6,4,3
2026-08-10,Verdepino,2026.0,Octubre 2026,202610,2,6,3
2026-08-10,Verdevivo,2026.0,Octubre 2026,202610,3,10,3
2026-08-10,Azul Club Residencial Turquesa,2026.0,Noviembre 2026,202611,1,0,12
2026-08-10,Cristales,2026.0,Noviembre 2026,202611,4,8,28
2026-08-10,VERDELIMA,2026.0,Noviembre 2026,202611,28,36,32
2026-08-10,Verdeoliva,2026.0,Noviembre 2026,202611,10,20,11
2026-08-10,Verdepino,2026.0,Noviembre 2026,202611,8,26,31
2026-08-10,Verdevivo,2026.0,Noviembre 2026,202611,2,5,3
2026-08-10,Azul Club Residencial Turquesa,2026.0,Diciembre 2026,202612,0,0,1
2026-08-10,Candil,2026.0,Diciembre 2026,202612,7,28,75
2026-08-10,Cristales,2026.0,Diciembre 2026,202612,5,21,61
2026-08-10,Las Mañanitas Casas,2026.0,Diciembre 2026,202612,0,1,0
2026-08-10,VERDELIMA,2026.0,Diciembre 2026,202612,15,35,24
2026-08-10,Verdeoliva,2026.0,Diciembre 2026,202612,37,89,52
2026-08-10,Verdepino,2026.0,Diciembre 2026,202612,11,44,46
2026-08-10,Verdevivo,2026.0,Diciembre 2026,202612,6,23,31
2026-08-10,Cristales,2027.0,Enero 2027,202701,0,0,2
2026-08-10,VERDELIMA,2027.0,Enero 2027,202701,0,0,1
2026-08-10,Cristales,2027.0,Febrero 2027,202702,0,0,1
2026-08-10,Verdeoliva,2027.0,Febrero 2027,202702,0,1,0
2026-08-10,Verdepino,2027.0,Febrero 2027,202702,0,0,2
2026-08-10,Candil,2027.0,Marzo 2027,202703,0,1,4
2026-08-10,Cristales,2027.0,Marzo 2027,202703,0,0,1
2026-08-10,Candil,2027.0,Abril 2027,202704,0,0,1
2026-08-10,Cristales,2027.0,Mayo 2027,202705,0,0,2
2026-08-10,Candil,2027.0,Junio 2027,202706,0,0,1
2026-08-10,Verdepino,2027.0,Junio 2027,202706,0,0,2
2026-08-10,Verdevivo,2027.0,Julio 2027,202707,0,0,4
2026-08-10,Candil,2027.0,Agosto 2027,202708,0,0,1
2026-08-10,Verdevivo,2027.0,Agosto 2027,202708,1,0,2
2026-08-10,Cristales,2027.0,Septiembre 2027,202709,0,0,1
2026-08-10,Azul Club Residencial Turquesa,2027.0,Octubre 2027,202710,0,0,2
2026-08-10,Candil,2027.0,Octubre 2027,202710,0,0,41
2026-08-10,Azul Club Residencial Turquesa,2027.0,Noviembre 2027,202711,0,0,3
2026-08-10,Candil,2027.0,Noviembre 2027,202711,0,0,6
2026-08-10,Verdepino,2027.0,Noviembre 2027,202711,0,0,1
2026-08-10,Candil,2027.0,Diciembre 2027,202712,0,1,11
2026-08-10,Verdepino,2027.0,Diciembre 2027,202712,0,0,1
2026-08-10,Cristales,2028.0,Enero 2028,202801,0,0,2
2026-08-10,Azul Club Residencial Turquesa,2028.0,Febrero 2028,202802,1,0,0
2026-08-10,Cristales,2028.0,Febrero 2028,202802,0,0,2
2026-08-10,Candil,2028.0,Marzo 2028,202803,0,0,39
2026-08-10,Cristales,2028.0,Marzo 2028,202803,1,0,27
2026-08-10,Verdepino,2028.0,Marzo 2028,202803,0,0,32
2026-08-10,Cristales,2028.0,Abril 2028,202804,0,0,3
2026-08-10,Verdepino,2028.0,Abril 2028,202804,0,2,144
2026-08-10,Verdepino,2028.0,Mayo 2028,202805,0,0,13
2026-08-10,Cristales,2028.0,Junio 2028,202806,0,0,1
2026-08-10,Verdepino,2028.0,Junio 2028,202806,1,0,4
2026-08-10,Azul Club Residencial Celeste,,Sin fecha proyectada,999999,0,0,1
2026-08-10,Azul Club Residencial Turquesa,,Sin fecha proyectada,999999,0,0,1
2026-08-10,Candil,,Sin fecha proyectada,999999,5,0,11
2026-08-10,Cristales,,Sin fecha proyectada,999999,7,0,22
2026-08-10,Las Mañanitas Apartamentos VIS,,Sin fecha proyectada,999999,4,30,83
2026-08-10,Las Mañanitas Casas,,Sin fecha proyectada,999999,17,19,86
2026-08-10,VERDELIMA,,Sin fecha proyectada,999999,2,0,1
2026-08-10,Verdeoliva,,Sin fecha proyectada,999999,0,1,4
2026-08-10,Verdepino,,Sin fecha proyectada,999999,7,5,33
2026-08-10,Verdevivo,,Sin fecha proyectada,999999,6,5,18
2026-08-18,Verdepino,2026,Abril 2026,202604,2,0,0
2026-08-18,Verdepino,2026,Junio 2026,202606,7,2,2
2026-08-18,Verdevivo,2026,Junio 2026,202606,8,0,0
2026-08-18,Azul Club Residencial Turquesa,2026,Julio 2026,202607,0,0,2
2026-08-18,VERDELIMA,2026,Julio 2026,202607,5,2,0
2026-08-18,Verdepino,2026,Julio 2026,202607,6,3,3
2026-08-18,Verdevivo,2026,Julio 2026,202607,7,9,1
2026-08-18,Azul Club Residencial Celeste,2026,Agosto 2026,202608,0,0,1
2026-08-18,Azul Club Residencial Turquesa,2026,Agosto 2026,202608,8,0,23
2026-08-18,VERDELIMA,2026,Agosto 2026,202608,2,6,3
2026-08-18,Verdeoliva,2026,Agosto 2026,202608,10,2,0
2026-08-18,Verdepino,2026,Agosto 2026,202608,5,6,0
2026-08-18,Verdevivo,2026,Agosto 2026,202608,12,8,1
2026-08-18,Azul Club Residencial Celeste,2026,Septiembre 2026,202609,1,0,2
2026-08-18,Azul Club Residencial Turquesa,2026,Septiembre 2026,202609,9,1,20
2026-08-18,Cristales,2026,Septiembre 2026,202609,2,2,7
2026-08-18,VERDELIMA,2026,Septiembre 2026,202609,1,2,2
2026-08-18,Verdeoliva,2026,Septiembre 2026,202609,5,8,4
2026-08-18,Verdepino,2026,Septiembre 2026,202609,5,7,5
2026-08-18,Verdevivo,2026,Septiembre 2026,202609,7,9,4
2026-08-18,Azul Club Residencial Turquesa,2026,Octubre 2026,202610,1,0,8
2026-08-18,Cristales,2026,Octubre 2026,202610,1,3,11
2026-08-18,VERDELIMA,2026,Octubre 2026,202610,5,15,5
2026-08-18,Verdeoliva,2026,Octubre 2026,202610,6,5,2
2026-08-18,Verdepino,2026,Octubre 2026,202610,2,6,3
2026-08-18,Verdevivo,2026,Octubre 2026,202610,3,10,3
2026-08-18,Azul Club Residencial Turquesa,2026,Noviembre 2026,202611,1,0,12
2026-08-18,Cristales,2026,Noviembre 2026,202611,5,7,28
2026-08-18,VERDELIMA,2026,Noviembre 2026,202611,29,42,22
2026-08-18,Verdeoliva,2026,Noviembre 2026,202611,9,21,11
2026-08-18,Verdepino,2026,Noviembre 2026,202611,8,27,30
2026-08-18,Verdevivo,2026,Noviembre 2026,202611,2,5,3
2026-08-18,Azul Club Residencial Turquesa,2026,Diciembre 2026,202612,0,0,1
2026-08-18,Candil,2026,Diciembre 2026,202612,10,32,67
2026-08-18,Cristales,2026,Diciembre 2026,202612,6,23,58
2026-08-18,Las Mañanitas Casas,2026,Diciembre 2026,202612,0,1,0
