fecha_corte,proyecto,anio,Vendidos,No escriturados,Requieren subsidio,Subsidio sin aprobar,Requieren crédito,Crédito sin aprobar
2026-08-10,Azul Club Residencial Celeste,Todos,307,6,0,0,5,5
2026-08-10,Azul Club Residencial Turquesa,Todos,271,93,1,1,81,72
2026-08-10,Candil,Todos,232,232,216,203,226,200
2026-08-10,Cristales,Todos,225,225,207,191,216,181
2026-08-10,Las Mañanitas Apartamentos VIS,Todos,117,117,103,72,115,112
2026-08-10,Las Mañanitas Casas,Todos,210,123,87,63,118,103
2026-08-10,VERDELIMA,Todos,561,223,200,150,220,97
2026-08-10,Verdeoliva,Todos,665,267,252,183,265,109
2026-08-10,Verdepino,Todos,749,477,454,394,469,351
2026-08-10,Verdevivo,Todos,615,188,176,121,179,95
2026-08-10,Azul Club Residencial Celeste,2020,307,0,0,0,0,0
2026-08-10,Azul Club Residencial Turquesa,2020,271,0,0,0,0,0
2026-08-10,Candil,2020,232,0,0,0,0,0
2026-08-10,Cristales,2020,225,0,0,0,0,0
2026-08-10,Las Mañanitas Apartamentos VIS,2020,117,0,0,0,0,0
2026-08-10,Las Mañanitas Casas,2020,210,0,0,0,0,0
2026-08-10,VERDELIMA,2020,561,0,0,0,0,0
2026-08-10,Verdeoliva,2020,665,0,0,0,0,0
2026-08-10,Verdepino,2020,749,0,0,0,0,0
2026-08-10,Verdevivo,2020,615,0,0,0,0,0
2026-08-10,Azul Club Residencial Celeste,2021,307,0,0,0,0,0
2026-08-10,Azul Club Residencial Turquesa,2021,271,0,0,0,0,0
2026-08-10,Candil,2021,232,0,0,0,0,0
2026-08-10,Cristales,2021,225,0,0,0,0,0
2026-08-10,Las Mañanitas Apartamentos VIS,2021,117,0,0,0,0,0
2026-08-10,Las Mañanitas Casas,2021,210,0,0,0,0,0
2026-08-10,VERDELIMA,2021,561,0,0,0,0,0
2026-08-10,Verdeoliva,2021,665,0,0,0,0,0
2026-08-10,Verdepino,2021,749,0,0,0,0,0
2026-08-10,Verdevivo,2021,615,0,0,0,0,0
2026-08-10,Azul Club Residencial Celeste,2025,307,0,0,0,0,0
2026-08-10,Azul Club Residencial Turquesa,2025,271,0,0,0,0,0
2026-08-10,Candil,2025,232,0,0,0,0,0
2026-08-10,Cristales,2025,225,0,0,0,0,0
2026-08-10,Las Mañanitas Apartamentos VIS,2025,117,0,0,0,0,0
2026-08-10,Las Mañanitas Casas,2025,210,0,0,0,0,0
2026-08-10,VERDELIMA,2025,561,0,0,0,0,0
2026-08-10,Verdeoliva,2025,665,0,0,0,0,0
2026-08-10,Verdepino,2025,749,0,0,0,0,0
2026-08-10,Verdevivo,2025,615,0,0,0,0,0
2026-08-10,Azul Club Residencial Celeste,2026,307,5,0,0,4,4
2026-08-10,Azul Club Residencial Turquesa,2026,271,86,1,1,75,66
2026-08-10,Candil,2026,232,110,106,93,109,84
2026-08-10,Cristales,2026,225,153,147,131,151,117
2026-08-10,Las Mañanitas Apartamentos VIS,2026,117,0,0,0,0,0
2026-08-10,Las Mañanitas Casas,2026,210,1,1,1,1,0
2026-08-10,VERDELIMA,2026,561,219,197,148,218,95
2026-08-10,Verdeoliva,2026,665,261,246,177,259,105
2026-08-10,Verdepino,2026,749,230,221,164,229,118
2026-08-10,Verdevivo,2026,615,152,147,94,148,71
2026-08-10,Azul Club Residencial Celeste,2027,307,0,0,0,0,0
2026-08-10,Azul Club Residencial Turquesa,2027,271,5,0,0,5,5
2026-08-10,Candil,2027,232,67,63,63,67,66
2026-08-10,Cristales,2027,225,7,6,6,7,7
2026-08-10,Las Mañanitas Apartamentos VIS,2027,117,0,0,0,0,0
2026-08-10,Las Mañanitas Casas,2027,210,0,0,0,0,0
2026-08-10,VERDELIMA,2027,561,1,1,1,1,1
2026-08-10,Verdeoliva,2027,665,1,1,1,1,0
2026-08-10,Verdepino,2027,749,6,6,6,6,6
2026-08-10,Verdevivo,2027,615,7,6,5,7,6
2026-08-10,Azul Club Residencial Celeste,2028,307,0,0,0,0,0
2026-08-10,Azul Club Residencial Turquesa,2028,271,1,0,0,0,0
2026-08-10,Candil,2028,232,39,37,37,39,39
2026-08-10,Cristales,2028,225,36,33,33,36,35
2026-08-10,Las Mañanitas Apartamentos VIS,2028,117,0,0,0,0,0
2026-08-10,Las Mañanitas Casas,2028,210,0,0,0,0,0
2026-08-10,VERDELIMA,2028,561,0,0,0,0,0
2026-08-10,Verdeoliva,2028,665,0,0,0,0,0
2026-08-10,Verdepino,2028,749,196,189,189,194,192
2026-08-10,Verdevivo,2028,615,0,0,0,0,0
2026-08-18,Azul Club Residencial Celeste,Todos,307,5,0,0,4,4
2026-08-18,Azul Club Residencial Turquesa,Todos,271,93,1,1,81,72
2026-08-18,Candil,Todos,233,233,215,201,225,192
2026-08-18,Cristales,Todos,228,228,207,190,216,179
2026-08-18,Las Mañanitas Apartamentos VIS,Todos,117,117,103,72,115,112
2026-08-18,Las Mañanitas Casas,Todos,210,123,87,63,118,103
2026-08-18,VERDELIMA,Todos,557,219,197,142,216,88
2026-08-18,Verdeoliva,Todos,667,269,252,179,265,105
2026-08-18,Verdepino,Todos,750,478,455,394,470,351
2026-08-18,Verdevivo,Todos,616,189,178,123,181,95
2026-08-18,Azul Club Residencial Celeste,2020,307,0,0,0,0,0
2026-08-18,Azul Club Residencial Turquesa,2020,271,0,0,0,0,0
2026-08-18,Candil,2020,233,0,0,0,0,0
2026-08-18,Cristales,2020,228,0,0,0,0,0
2026-08-18,Las Mañanitas Apartamentos VIS,2020,117,0,0,0,0,0
2026-08-18,Las Mañanitas Casas,2020,210,0,0,0,0,0
2026-08-18,VERDELIMA,2020,557,0,0,0,0,0
2026-08-18,Verdeoliva,2020,667,0,0,0,0,0
2026-08-18,Verdepino,2020,750,0,0,0,0,0
2026-08-18,Verdevivo,2020,616,0,0,0,0,0
2026-08-18,Azul Club Residencial Celeste,2021,307,0,0,0,0,0
2026-08-18,Azul Club Residencial Turquesa,2021,271,0,0,0,0,0
2026-08-18,Candil,2021,233,0,0,0,0,0
2026-08-18,Cristales,2021,228,0,0,0,0,0
2026-08-18,Las Mañanitas Apartamentos VIS,2021,117,0,0,0,0,0
2026-08-18,Las Mañanitas Casas,2021,210,0,0,0,0,0
2026-08-18,VERDELIMA,2021,557,0,0,0,0,0
2026-08-18,Verdeoliva,2021,667,0,0,0,0,0
2026-08-18,Verdepino,2021,750,0,0,0,0,0
2026-08-18,Verdevivo,2021,616,0,0,0,0,0
2026-08-18,Azul Club Residencial Celeste,2025,307,0,0,0,0,0
2026-08-18,Azul Club Residencial Turquesa,2025,271,0,0,0,0,0
2026-08-18,Candil,2025,233,0,0,0,0,0
2026-08-18,Cristales,2025,228,0,0,0,0,0
2026-08-18,Las Mañanitas Apartamentos VIS,2025,117,0,0,0,0,0
2026-08-18,Las Mañanitas Casas,2025,210,0,0,0,0,0
2026-08-18,VERDELIMA,2025,557,0,0,0,0,0
2026-08-18,Verdeoliva,2025,667,0,0,0,0,0
2026-08-18,Verdepino,2025,750,0,0,0,0,0
2026-08-18,Verdevivo,2025,616,0,0,0,0,0
2026-08-18,Azul Club Residencial Celeste,2026,307,4,0,0,3,3
2026-08-18,Azul Club Residencial Turquesa,2026,271,86,1,1,75,66
2026-08-18,Candil,2026,233,109,105,91,108,76
2026-08-18,Cristales,2026,228,153,147,130,151,115
2026-08-18,Las Mañanitas Apartamentos VIS,2026,117,0,0,0,0,0
2026-08-18,Las Mañanitas Casas,2026,210,1,1,1,1,0
2026-08-18,VERDELIMA,2026,557,215,194,140,214,86
2026-08-18,Verdeoliva,2026,667,261,246,173,259,101
2026-08-18,Verdepino,2026,750,230,221,163,229,117
2026-08-18,Verdevivo,2026,616,153,148,94,149,69
2026-08-18,Azul Club Residencial Celeste,2027,307,0,0,0,0,0
2026-08-18,Azul Club Residencial Turquesa,2027,271,5,0,0,5,5
2026-08-18,Candil,2027,233,67,63,63,67,66
2026-08-18,Cristales,2027,228,7,6,6,7,7
2026-08-18,Las Mañanitas Apartamentos VIS,2027,117,0,0,0,0,0
2026-08-18,Las Mañanitas Casas,2027,210,0,0,0,0,0
2026-08-18,VERDELIMA,2027,557,1,1,1,1,1
2026-08-18,Verdeoliva,2027,667,1,1,1,1,0
2026-08-18,Verdepino,2027,750,6,6,6,6,6
2026-08-18,Verdevivo,2027,616,6,5,5,6,6
2026-08-18,Azul Club Residencial Celeste,2028,307,0,0,0,0,0
2026-08-18,Azul Club Residencial Turquesa,2028,271,1,0,0,0,0
2026-08-18,Candil,2028,233,39,37,37,39,39
2026-08-18,Cristales,2028,228,36,33,33,36,35
2026-08-18,Las Mañanitas Apartamentos VIS,2028,117,0,0,0,0,0
2026-08-18,Las Mañanitas Casas,2028,210,0,0,0,0,0
2026-08-18,VERDELIMA,2028,557,0,0,0,0,0
2026-08-18,Verdeoliva,2028,667,0,0,0,0,0
2026-08-18,Verdepino,2028,750,196,189,189,194,192
2026-08-18,Verdevivo,2028,616,0,0,0,0,0
